#u	0.0433
截	-0.33
戮	0.21
戳	-0.43
戴	-0.37
户	-0.34
戽	1.92
戾	-1.29
房	-0.32
所	-0.19
扁	-0.25
扂	1.65
扇	0.26
扈	-2.15
扉	-1.57
手	0.11
才	0.42
扎	-0.64
扑	0.07
扒	0.93
打	-1.75
扔	-3.00
托	-0.40
扛	0.54
扣	-0.14
扦	3.48
执	-0.49
扩	0.35
扫	-0.12
扬	-1.01
扭	-1.15
扮	0.48
扯	-1.72
扰	-0.64
扱	1.65
扲	2.75
扳	-1.09
扴	1.99
扶	0.12
批	0.69
扼	-1.57
扽	2.08
找	-1.28
承	-0.66
技	-0.36
抄	-0.30
抈	2.88
抉	1.38
把	-1.18
抌	2.24
抐	3.80
抑	0.31
抒	-0.29
抓	-1.96
抔	1.65
投	-0.18
抖	-3.30
抗	-0.44
折	-0.95
抚	-0.52
抛	0.56
抠	-1.06
抡	0.04
抢	0.01
护	-0.21
报	0.03
抨	0.63
披	-0.78
抬	-3.81
抱	-0.19
抵	0.34
抹	-0.57
押	-0.18
抽	-0.09
抾	4.05
抿	1.08
拂	-0.50
拄	4.92
担	0.45
拆	0.48
拇	-0.31
拈	1.14
拉	-1.31
拊	1.65
拌	-0.44
拍	1.54
拎	0.89
拐	-0.21
拑	1.65
拒	-0.43
拓	-0.62
拔	-0.63
拖	0.48
拗	1.12
拘	-0.20
拙	-3.23
招	-0.66
拜	0.36
拟	-0.48
拢	0.04
拣	1.57
拥	-1.77
拦	-0.18
拧	-1.06
拨	-0.13
择	-0.53
括	0.13
拭	1.89
拮	-3.09
拯	0.04
拱	-0.23
拳	0.18
拵	2.99
拶	0.04
拷	-1.57
拸	1.65
拹	1.65
拼	0.82
拽	1.48
拾	0.08
拿	-2.17
持	-0.31
挂	0.39
指	-0.36
挈	0.50
按	0.90
挑	-1.08
挓	1.65
挔	1.65
挕	2.88
挖	-0.41
挛	-3.18
挟	0.16
挠	1.57
挡	0.57
挢	3.80
挣	-0.70
挤	-1.63
挥	-0.82
挦	0.35
挨	0.92
挪	-1.27
挫	-1.57
振	0.36
挲	1.58
挵	3.60
挹	1.31
挺	-0.54
挽	1.74
捀	2.88
捂	-0.16
捅	1.69
捆	-0.38
捉	-3.35
捊	1.65
捋	2.00
捌	3.32
捍	0.04
捎	1.10
捏	-0.01
捐	-0.38
捒	2.66
捔	2.44
捕	-1.55
捘	2.61
捙	2.31
捝	0.66
捞	-0.90
损	0.39
捡	-4.03
换	0.17
捣	-1.15
捧	1.14
捩	-0.47
据	-0.12
捶	-0.19
捷	-0.01
捻	0.52
捽	3.34
捾	2.99
掀	0.48
掂	-1.57
掇	0.95
授	-0.51
掉	-0.91
掌	-0.93
掏	-4.03
掐	-1.18
排	0.13
掔	4.28
掖	1.32
掘	0.71
掞	1.99
掠	2.93
探	-0.12
掣	1.81
接	-0.12
控	0.04
推	-0.03
掩	0.40
措	-0.39
掬	1.51
掮	-1.90
掰	1.14
